wikidata,label
Q5332796,"Echoes of Paradise (Phillip Noyce, 1987)"
Q5372694,"Emma's War (Clytie Jessop, 1986)"
Q7732680,"The Everlasting Secret Family (Michael Thornhill, 1988)"
Q1249239,"Evil Angels (Fred Schepisi, 1988)"
Q3415133,"Grievous Bodily Harm (Mark Joffe, 1988)"
Q7130566,"Pandemonium (Haydn Keenan, 1987)"
Q7750062,"The Man from Snowy River II (Geoff Burrowes, 1988)"
Q928963,"The Navigator: A Medieval Odyssey (Vincent Ward, 1988)"
Q7758824,"The Pursuit of Happiness (Martha Ansara, 1988)"
Q7334087,"Rikky and Pete (Nadia Tass, 1988)"
Q3481306,"Shame (Steve Jodrell, 1987)"
Q7767517,"The Surfer (Frank Shields, 1986)"
Q7767971,"The Tale of Ruby Rose (Roger Scholes, 1987)"
Q7969557,"Warm Nights on a Slow Moving Train (Bob Ellis, 1988)"
Q898684,"Young Einstein (Yahoo Serious, 1988)"
Q27703239,"Against the Innocent (Daryl Dellora, 1989)"
Q4928591,"Blowing Hot and Cold (Marc Gracie, 1988)"
Q4997043,"Bullseye (Carl Schultz, 1987)"
Q5032126,"Candy Regentag (James Ricketson, 1989)"
Q5036199,"Cappuccino (Antony J. Bowman, 1989)"
Q5057968,"Celia (Ann Turner, 1989)"
Q5209788,"Daisy and Simon (Stasch Radwanski Jr., 1988)"
Q2451484,"Emerald City (Michael Jenkins, 1988)"
Q845077,"Dead Calm (Phillip Noyce, 1989)"
Q7729665,"The Delinquents (Chris Thomson, 1989)"
Q5267342,"Devil in the Flesh (Scott Murray, 1989)"
Q1509291,"Georgia (Ulu Grosbard, 1995)"
Q3104975,"Ghosts… of the Civil Dead (John Hillcoat, 1988)"
Q6014570,"Incident at Raven's Gate (Rolf de Heer, 1988)"
Q6082951,"Island (Paul Cox, 1989)"
Q6699927,"Luigi's Ladies (Judy Morris, 1989)"
Q6867932,"Minnamurra (Ian Barry, 1989)"
Q6934049,"Mull (Don McLennan, 1989)"
Q1213701,"The Blood of Heroes (David Peoples, 1990)"
Q7442560,"Sebastian and the Sparrow (Scott Hicks, 1988)"
Q7562351,"Sons of Steel (Gary L. Keady, 1989)"
Q7578083,"Spirits of the Air, Gremlins of the Clouds (Alex Proyas, 1989)"
Q12128161,"A Sting in the Tale (Eugene Schlusser, 1989)"
Q3488565,"Sweetie (Jane Campion, 1989)"
Q7699590,"Tender Hooks (Mary Callaghan, 1989)"
Q1304431,"An Angel at My Table (Jane Campion, 1990)"
Q7717807,"The Big Steal (Nadia Tass, 1990)"
Q4241471,"Bloodmoon (Alec Mills, 1990)"
Q3416461,"Blood Oath (Stephen Wallace, 1990)"
Q7728178,"The Crossing (George Ogilvie, 1990)"
Q5437557,"Father (John Power, 1990)"
Q5694749,"Heaven Tonight (Pino Amenta, 1990)"
Q12126904,"Phobia (John Dingwall, 1988)"
Q7758391,"The Prisoner of St. Petersburg (Ian Pringle, 1989)"
Q7296879,"Raw Nerve (Tony Wellington, 1990)"
Q7317149,"Return Home (Ray Argall, 1990)"
Q7494630,"Sher Mountain Killings Mystery (Vince Martin, 1990)"
Q3500604,"Struck by Lightning (Jerzy Domaradzki, 1990)"
Q15039829,"Wendy Cracked a Walnut (Michael Pattinson, 1990)"
Q7991628,"What the Moon Saw (Pino Amenta, 1990)"
Q18888959,"Aya (Mihal Brezis/Oded Binnun, 2012)"
Q5216093,"Dangerous Game (Stephen Hopkins, 1987)"
Q4424397,"Death in Brunswick (John Ruane, 1990)"
Q127665,"Flirting (John Duigan, 1991)"
Q17005455,"Golden Braid (Paul Cox, 1990)"
Q505135,"Green Card (Peter Weir, 1990)"
Q5880596,"Holidays on the River Yarra (Leo Berkeley, 1991)"
Q4085738,"Hunting (Frank Howson, 1991)"
Q12124942,"Hurricane Smith (Colin Budds, 1992)"
Q3489899,"The Magic Riddle (Yoram Gross, 1991)"
Q7040133,"Nirvana Street Murder (Aleksi Vellis, 1990)"
Q3407500,"Proof (Jocelyn Moorhouse, 1991)"
Q123306412,"Quigley (Simon Wincer, 1989)"
Q7655538,"Sweet Talker (Michael Jenkins, 1991)"
Q7960530,"Waiting (Jackie McKimmie, 1991)"
Q7979467,"Weekend with Kate (Arch Nicholson, 1990)"
Q4660710,"A Woman's Tale (Paul Cox, 1991)"
Q4839735,"Backsliding (Simon Target, 1992)"
Q880515,"Black Robe (Bruce Beresford, 1991)"
Q804498,"Blinky Bill (Yoram Gross, 1992)"
Q4959906,"Breathing Under Water (Susan Murphy Dermody, 1991)"
Q139088359,Come by Chance
Q7736524,"The Girl Who Came Late (Kathy Mueller, 1991)"
Q5245604,"Deadly (Esben Storm, 1991)"
Q3028325,"Dingo (Rolf de Heer, 1991)"
Q5437280,"Fatal Bond (Vince Monton, 1992)"
Q240852,"FernGully: The Last Rainforest (Bill Kroyer, 1992)"
Q5522034,"Garbo (Ron Cobb, 1992)"
Q123288707,The Good Woman of Bangkok (1991)
Q6078224,"Isabelle Eberhardt (Ian Pringle, 1991)"
Q4315248,"The Last Days of Chez Nous (Gillian Armstrong, 1992)"
Q3358884,"Over the Hill (George T. Miller, 1992)"
Q909098,"Romper Stomper (Geoffrey Wright, 1992)"
Q7444459,"Secrets (Michael Pattinson, 1992)"
Q4431081,"Spotswood (Mark Joffe, 1992)"
Q7597991,"Stan and George's New Life (Brian McKenzie, 1992)"
Q1346439,"Strictly Ballroom (Baz Luhrmann, 1992)"
Q7856378,"Turtle Beach (Stephen Wallace, 1992)"
Q571053,"Until the End of the World (Wim Wenders, 1991)"
Q4879081,"Bedevil (Tracey Moffatt, 1993)"
Q4922836,"Blackfellas (James Ricketson, 1993)"
Q4081065,"Exchange Lifeguards (Maurice Murphy, 1992)"
Q612373,"Fortress (Stuart Gordon, 1992)"
Q5604194,"Greenkeeping (David Caesar, 1992)"
Q2515683,"Gross Misconduct (George T. Miller, 1993)"
Q7739216,"The Heartbreak Kid (Michael Jenkins, 1993)"
Q4114646,"Hercules Returns (David Parker, 1993)"
Q1058555,"Lorenzo's Oil (George Miller, 1992)"
Q6691803,"Love in Limbo (David Elfick, 1993)"
Q32424,"Map of the Human Heart (Vincent Ward, 1992)"
Q7754411,"The Nostradamus Kid (Bob Ellis, 1992)"
Q7045189,"No Worries (David Elfick, 1994)"
Q7091069,"On My Own (Antonio Tibaldi, 1991)"
Q117315,"The Piano (Jane Campion, 1993)"
Q3421998,"Reckless Kelly (Yahoo Serious, 1993)"
Q124536131,The Refracting Glasses (1992)
Q7764269,"The Silver Brumby (John Tatoulis, 1992)"
Q12129249,"This Won't Hurt a Bit (Chris Kennedy, 1993)"
Q1781817,"Wind (Carroll Ballard, 1992)"
Q255328,"The Adventures of Priscilla, Queen of the Desert (Stephan Elliott, 1994)"
Q798641,"Bad Boy Bubby (Rolf de Heer, 1993)"
Q1278728,"Body Melt (Philip Brophy, 1993)"
Q4973402,"Broken Highway (Laurie McInnes, 1993)"
Q4158757,"Country Life (film) (Michael Blakemore, 1994)"
Q7728500,"The Custodian (John Dingwall, 1993)"
Q7502504,"Shotgun Wedding (Paul Harmon, 1993)"
Q594030,"Frauds (Stephan Elliott, 1993)"
Q3545539,"Hammers Over the Anvil (Ann Turner, 1993)"
Q6537610,"Lex and Rory (Dean Murphy, 1994)"
Q1511623,"Lightning Jack (Simon Wincer, 1994)"
Q6697866,"Lucky Break (Ben Lewin, 1994)"
Q6778749,"Mary (Kay Pavlou, 1994)"
Q1348275,"Muriel's Wedding (P. J. Hogan, 1994)"
Q1421228,"No Escape (Martin Campbell, 1994)"
Q49907029,"Police Rescue (Michael Carson, 1994)"
Q7761389,"The Roly Poly Man (Bill Young, 1994)"
Q1542458,"Sirens (John Duigan, 1994)"
Q7577049,"Spider and Rose (Bill Bennett, 1994)"
Q1518910,"The Sum of Us (Kevin Dowling, 1994)"
Q7835668,"Traps (Pauline Chan, 1994)"
